2014,4,1,60,39,0.00,0.0,0.0
2014,4,2,54,42,0.00,0.0,0.0
2014,4,3,67,46,0.07,0.0,0.0
2014,4,4,47,40,0.21,0.0,0.0
2014,4,5,54,40,0.00,0.0,0.0
2014,4,6,61,36,0.00,0.0,0.0
2014,4,7,53,43,0.52,0.0,0.0
2014,4,8,64,46,0.34,0.0,0.0
2014,4,9,61,45,0.00,0.0,0.0
2014,4,10,58,42,0.00,0.0,0.0
2014,4,11,75,56,0.00,0.0,0.0
2014,4,12,73,50,0.00,0.0,0.0
2014,4,13,77,54,0.00,0.0,0.0
2014,4,14,75,59,0.00,0.0,0.0
2014,4,15,63,33,0.71,T,0.0
2014,4,16,49,31,0.05,T,0.0
2014,4,17,48,36,0.00,0.0,0.0
2014,4,18,49,35,0.00,0.0,0.0
2014,4,19,68,41,0.00,0.0,0.0
2014,4,20,60,45,0.00,0.0,0.0
2014,4,21,67,41,0.00,0.0,0.0
2014,4,22,71,51,0.01,0.0,0.0
2014,4,23,61,44,0.00,0.0,0.0
2014,4,24,62,42,0.00,0.0,0.0
2014,4,25,63,44,0.02,0.0,0.0
2014,4,26,67,46,0.92,0.0,0.0
2014,4,27,59,47,0.00,0.0,0.0
2014,4,28,67,45,0.00,0.0,0.0
2014,4,29,52,43,0.03,0.0,0.0
2014,4,30,52,41,4.97,0.0,0.0
